Start Normal X, Start Normal Y, Start Normal Z, Start Position X, Start Position Y, Start Position Z, Frame 1 Position X, Frame 1 Position Y, Frame 1 Position Z, 1-up Platform Position X, 1-up Platform Position Y, 1-up Platform Position Z, Return Position X, Return Position Y, Return Position Z, Pre-10K Speed, Pre-10K X Velocity, Pre-10K Z Velocity, Return Speed, Return X Velocity, Return Z Velocity, Frame 1 Q-steps, Frame 2 Q-steps, Frame 3 Q-steps, Frame 1 Angle, 10K Stick X, 10K Stick Y, 10K Camera Yaw, Start Floor Normal X, Start Floor Normal Y, Start Floor Normal Z, Number of Tilt Frames, Post-Tilt Platform Normal X, Post-Tilt Platform Normal Y, Post-Tilt Platform Normal Z, Post-Tilt Position X, Post-Tilt Position Y, Post-Tilt Position Z, Post-Upwarp Position X, Post-Upwarp Position Y, Post-Upwarp Position Z, Upwarp PU X, Upwarp PU Z
-0.245500, 0.800500, 0.348250, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2944.851318, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836168, 0.451976, -1759.491577, -3068.726074, -444.754364, 61926280.000000, 3515.273926, -262015136.000000, 960, -3992
-0.245500, 0.800500, 0.348250, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2944.851318, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836168, 0.451976, -1759.491577, -3068.726074, -444.754364, 61926280.000000, 3515.273926, -262015136.000000, 960, -3992
-0.245500, 0.800500, 0.348250, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2944.851318, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836168, 0.451976, -1759.491577, -3068.726074, -444.754364, 62189340.000000, 3107.273926, -262277888.000000, 964, -3996
-0.245500, 0.800500, 0.348250, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2944.851318, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836168, 0.451976, -1759.491577, -3068.726074, -444.754364, 62189340.000000, 3107.273926, -262277888.000000, 964, -3996
-0.245500, 0.800500, 0.348250, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2944.851318, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836168, 0.451976, -1759.491577, -3068.726074, -444.754364, 61662444.000000, 1059.273926, -262277664.000000, 956, -3996
-0.245500, 0.800500, 0.348250, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2944.851318, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836168, 0.451976, -1759.491577, -3068.726074, -444.754364, 61662444.000000, 1059.273926, -262277664.000000, 956, -3996
-0.245500, 0.800500, 0.348250, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2944.851318, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836168, 0.451976, -1759.491577, -3068.726074, -444.754364, 61925160.000000, 3043.273926, -262277664.000000, 960, -3996
-0.245500, 0.800500, 0.348250, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2944.851318, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836168, 0.451976, -1759.491577, -3068.726074, -444.754364, 61925160.000000, 3043.273926, -262277664.000000, 960, -3996
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 62185992.000000, 3283.603027, -262802816.000000, 964, -4004
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 61926648.000000, 2723.603027, -262015200.000000, 960, -3992
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 62185992.000000, 3283.603027, -262802816.000000, 964, -4004
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 61926648.000000, 2723.603027, -262015200.000000, 960, -3992
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836227, 0.451869, -1759.505127, -3068.657227, -444.837433, 62185720.000000, 3475.342773, -262802864.000000, 964, -4004
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836227, 0.451869, -1759.505127, -3068.657227, -444.837433, 62185720.000000, 3475.342773, -262802864.000000, 964, -4004
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836227, 0.451869, -1759.505127, -3068.657227, -444.837433, 61663660.000000, 907.342773, -262015248.000000, 956, -3992
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 61662816.000000, 251.603027, -262277728.000000, 956, -3996
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836227, 0.451869, -1759.505127, -3068.657227, -444.837433, 61663660.000000, 907.342773, -262015248.000000, 956, -3992
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 61662816.000000, 251.603027, -262277728.000000, 956, -3996
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 62187120.000000, 3755.603027, -262540272.000000, 964, -4000
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22555, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 62187120.000000, 3755.603027, -262540272.000000, 964, -4000
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1793.000000, -2945.248047, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836666, 0.452053, -1760.464111, -3068.396973, -444.869537, 61663932.000000, 723.603027, -262015200.000000, 956, -3992
-0.245500, 0.800500, 0.348750, -1714.866089, -2900.238281, -506.475250, -11986474.000000, -2900.238281, 8060748.000000, -25432004.000000, -2955.771240, 17104554.000000, -1792.000000, -2945.003174, -461.500000, 64816384.000000, -53782120.000000, 36175224.000000, -350638880.000000, 290946528.000000, -195698128.000000, 1, 1, 1, 55328, 0, -8, 22548, -0.258781, 0.891356, 0.372178, 45, 0.244500, 0.836227, 0.451869, -1759.505127, -3068.657227, -444.837433, 61926376.000000, 2899.342773, -262015248.000000, 960, -3992
